,company,typeName,cpu,processor,os,screen_size,ram,card,ssd,hdd,hard_driver,made_in,warranty,condition,price
21,Apple,MacBook Air M1,Khác,,iOS,14.0,8.0,,1,0,256.0,,Bảo hành hãng,Đã sử dụng ,13900000
22,HP,ZBook,Intel,Core i7,Windows,15.6,8.0,NVIDIA,1,0,128.0,Mỹ,3 tháng,Đã sử dụng ,4300000
23,HP,ProBook,Intel,Core i5,Windows,14.0,8.0,Onboard,1,0,256.0,,3 tháng,Mới,2900000
24,HP,Elitebook,,,Windows,,,,1,0,,,Còn bảo hành,Đã sử dụng ,5500000
25,Dell,Latitude,Intel,Core i5,Windows,16.0,16.0,Onboard,1,0,256.0,Mỹ,3 tháng,Đã sử dụng ,6900000
26,HP,Elitebook,Intel,Core i5,Windows,13.0,8.0,Onboard,1,0,256.0,Mỹ,3 tháng,Đã sử dụng ,4900000
27,Apple,MacBook Air M2,Khác,,iOS,13.0,16.0,Onboard,1,0,256.0,Việt Nam,4-6 tháng,Đã sử dụng ,27500000
28,Dell,Latitude,Intel,Core i7,Windows,14.0,8.0,Onboard,1,0,256.0,Mỹ,3 tháng,Đã sử dụng ,7900000
29,Dell,Latitude,Intel,Core i5,Windows,12.5,8.0,Onboard,1,0,256.0,Mỹ,3 tháng,Đã sử dụng ,5900000
30,HP,Elitebook,,,Windows,,,,1,0,,,Còn bảo hành,Đã sử dụng ,5500000
31,Lenovo,ThinkPad,Intel,Core i7,Windows,13.0,16.0,Onboard,1,0,512.0,,Bảo hành hãng,Đã sử dụng ,10990000
32,Samsung,Galaxyboook,Intel,Core i7,Windows,15.6,16.0,Onboard,1,0,1024.0,,Bảo hành hãng,Đã sử dụng ,21990000
33,HP,Dòng Khác,Intel,Core i5,Windows,13.6,8.0,Onboard,0,1,256.0,,Bảo hành hãng,Đã sử dụng ,9990000
34,Dell,Latitude,,,Windows,,,,1,0,,,Còn bảo hành,Đã sử dụng ,4000000
35,Dell,Latitude,Intel,Core i5,Windows,13.6,8.0,Onboard,0,1,256.0,Mỹ,3 tháng,Đã sử dụng ,5000000
36,Asus,X Series,Intel,Core i7,Windows,15.0,16.0,NVIDIA,1,0,512.0,Việt Nam,3 tháng,Đã sử dụng ,11999999
37,Dell,Precision,Intel,Core i7,Windows,15.6,32.0,NVIDIA,1,1,128.0,Mỹ,3 tháng,Đã sử dụng ,10999999
38,HP,Elitebook,Intel,Core i5,Windows,13.0,8.0,Onboard,0,1,256.0,Mỹ,3 tháng,Đã sử dụng ,4000000
39,Microsoft,Surface Laptop Studio,Intel,Core i7,Windows,16.0,16.0,,0,1,512.0,Mỹ,3 tháng,Đã sử dụng ,11390000
40,Dell,Precision,,,Windows,,,,0,1,,,Bảo hành hãng,Đã sử dụng ,10500000
41,Dell,Latitude,Intel,Core i5,Windows,12.5,16.0,Onboard,1,0,256.0,Mỹ,Còn bảo hành,Đã sử dụng ,4550000
42,Dell,Latitude,Intel,Core i7,Windows,15.0,16.0,NVIDIA,0,1,512.0,Mỹ,3 tháng,Đã sử dụng ,9500000
43,HP,Elitebook,Intel,Core i5,Windows,13.6,4.0,Onboard,0,1,250.0,Mỹ,3 tháng,Đã sử dụng ,2000000
44,Lenovo,ThinkPad,Intel,Core i7,Windows,15.0,16.0,Onboard,1,0,512.0,Mỹ,4-6 tháng,Đã sử dụng ,12500000
45,Lenovo,ThinkPad,Intel,Core i5,Windows,14.0,8.0,Onboard,1,0,256.0,Mỹ,3 tháng,Đã sử dụng ,9800000
46,Dell,Inspiron,Intel,Core i5,Windows,15.0,8.0,Onboard,1,0,1024.0,Mỹ,4-6 tháng,Đã sử dụng ,9500000
47,Lenovo,ThinkPad,Intel,Core i5,Windows,15.6,8.0,Onboard,1,0,256.0,Mỹ,4-6 tháng,Đã sử dụng ,9800000
48,Asus,TUF Gaming,Intel,Core i7,Windows,15.0,16.0,NVIDIA,1,0,512.0,Mỹ,4-6 tháng,Đã sử dụng ,23500000
49,Asus,TUF Gaming,AMD,Ryzen 7,Windows,16.0,8.0,NVIDIA,1,0,512.0,Việt Nam,Hết bảo hành,Đã sử dụng ,11800000
50,Asus,TUF Gaming,Intel,Core i7,Windows,16.0,16.0,NVIDIA,1,0,512.0,Mỹ,4-6 tháng,Đã sử dụng ,23500000
51,Asus,TUF Gaming,AMD,Ryzen 7,Windows,15.0,8.0,NVIDIA,1,0,512.0,Việt Nam,Hết bảo hành,Đã sử dụng ,11800000
52,Dell,Inspiron,Intel,Core i5,Windows,15.0,8.0,Onboard,1,0,256.0,Mỹ,7-12 tháng,Mới,14800000
53,HP,Notebook,Intel,Core i5,Windows,15.6,8.0,Khác,1,0,256.0,,Còn bảo hành,Mới,3200000
54,Apple,MacBook Air M2,Khác,,iOS,16.0,8.0,Onboard,1,0,256.0,,4-6 tháng,Đã sử dụng ,25500000
55,HP,Notebook,Intel,Core i5,Windows,14.0,16.0,Onboard,0,1,512.0,Mỹ,3 tháng,Đã sử dụng ,9100000
56,LG,Gram,Intel,Core i7,Windows,17.3,16.0,Onboard,1,0,512.0,Mỹ,4-6 tháng,Đã sử dụng ,18900000
57,Apple,MacBook Pro M1,Khác,,iOS,15.6,16.0,Khác,1,0,512.0,,4-6 tháng,Đã sử dụng ,34800000
58,Dell,Precision,Intel,Core i7,Windows,16.0,8.0,NVIDIA,1,0,128.0,Mỹ,3 tháng,Đã sử dụng ,3800000
59,Dell,Latitude,Intel,Core i5,Windows,14.0,4.0,Onboard,0,1,128.0,,Còn bảo hành,Đã sử dụng ,5500000
60,Asus,VivoBook S Series,Intel,Core i3,Windows,16.0,8.0,Onboard,1,0,256.0,Việt Nam,3 tháng,Đã sử dụng ,7500000
61,HP,Elitebook,Intel,Core i5,Windows,15.0,8.0,Onboard,0,1,256.0,Mỹ,3 tháng,Đã sử dụng ,9800000
62,Asus,X Series,Intel,Core i7,Windows,15.6,8.0,NVIDIA,1,0,512.0,Việt Nam,3 tháng,Đã sử dụng ,7900000
63,Apple,MacBook,Khác,,iOS,12.5,8.0,Onboard,1,0,256.0,Việt Nam,4-6 tháng,Đã sử dụng ,9500000
64,HP,Pavilion,Intel,Core i5,Windows,14.0,8.0,Onboard,1,0,256.0,Việt Nam,3 tháng,Đã sử dụng ,7900000
